pin,r,g,b,total
0790,255,11,0,266
0791,240,0,0,240
0792,255,26,0,281
0793,193,0,0,193
0794,183,0,0,183
0795,224,0,0,224
0796,237,0,0,237
0797,242,0,0,242
0798,255,7,0,262
0799,255,1,0,256
0800,255,80,0,335
0801,255,119,0,374
0802,255,134,0,389
0803,255,122,0,377
0804,255,136,0,391
0805,255,131,0,386
0806,255,116,0,371
0807,255,144,0,399
0808,255,187,0,442
0809,255,150,0,405
0810,255,137,0,392
0811,255,152,0,407
0812,255,145,0,400
0813,255,147,0,402
0814,255,123,0,378
0815,255,197,0,452
0816,255,131,0,386
0817,255,124,0,379
0818,255,146,0,401
0819,255,115,0,370
0820,255,144,0,399
0821,255,118,0,373
0822,255,154,0,409
0823,255,135,0,390
0824,255,137,0,392
0825,255,142,0,397
0826,255,129,0,384
0827,255,121,0,376
0828,255,137,0,392
0829,255,151,0,406
0830,255,109,0,364
0831,255,127,0,382
0832,238,0,0,238
0833,236,0,0,236
0834,249,0,0,249
0835,245,0,0,245
0836,215,0,0,215
0837,230,0,0,230
0838,253,0,0,253
0839,204,0,0,204
0840,242,0,0,242
0841,255,2,0,257
0842,215,0,0,215
0843,223,0,0,223
0844,255,34,0,289
0845,220,0,0,220
0846,255,9,0,264
0847,185,0,0,185
0848,255,3,0,258
0849,227,0,0,227
0850,255,4,0,259
0851,227,0,0,227
0852,255,127,0,382
0853,220,0,0,220
0854,255,34,0,289
0855,215,0,0,215
0856,188,0,0,188
0857,232,0,0,232
0858,237,0,0,237
0859,149,0,0,149
0860,221,0,0,221
0861,231,0,0,231
0862,245,0,0,245
0863,231,0,0,231
0864,255,56,0,311
0865,255,37,0,292
0866,228,0,0,228
0867,231,0,0,231
0868,255,3,0,258
0869,255,18,0,273
0870,247,0,0,247
0871,255,28,0,283
0872,228,0,0,228
0873,255,3,0,258
0874,236,0,0,236
0875,246,0,0,246
0876,255,3,0,258
0877,255,6,0,261
0878,255,81,0,336
0879,255,80,0,335
0880,255,88,0,343
0881,240,0,0,240
0882,255,6,0,261
0883,251,0,0,251
0884,234,0,0,234
0885,255,19,0,274
0886,239,0,0,239
0887,242,0,0,242
0888,255,20,0,275
0889,255,39,0,294
0890,255,44,0,299
0891,255,17,0,272
0892,255,41,0,296
0893,251,0,0,251
0894,223,0,0,223
0895,244,0,0,244
0896,255,4,0,259
0897,255,25,0,280
0898,255,31,0,286
0899,234,0,0,234
0900,255,84,0,339
0901,255,131,0,386
0902,255,116,0,371
0903,255,123,0,378
0904,255,140,0,395
0905,255,118,0,373
0906,255,134,0,389
0907,255,226,0,481
0908,255,160,0,415
0909,255,255,33,543
0910,255,132,0,387
0911,255,170,0,425
0912,255,177,0,432
0913,255,147,0,402
0914,255,146,0,401
0915,255,144,0,399
